mi10,1000,100000
mi10pro,1000,100000
mi10lite,1000,100000
mi10t,1000,100000
mi10t_lite,1000,100000
mi10t_pro,1000,100000
mi11,1000,100000
mi11i,1000,100000
mi11lite,1000,100000
mi11pro,1000,100000
mi11t,1000,100000
mi11ultra,1000,100000
mi11x,1000,100000
mi11x_pro,1000,100000
mi2,1000,100000
mi2a,1000,100000
mi2s,1000,100000
mi3,1000,100000
mi4,1000,100000
mi4c,1000,100000
mi4i,1000,100000
mi4s,1000,100000
mi5,1000,100000
mi5c,1000,100000
mi5s_plus,1000,100000
mi5x,1000,100000
mi6,1000,100000
mi6x,1000,100000
mi8,1000,100000
mi8lite,1000,100000
mi8pro,1000,100000
mi8se,1000,100000
mi9,1000,100000
mi9se,1000,100000
mi9t,1000,100000
mi9t_pro,1000,100000
mi_a1,1000,100000
mi_a2,1000,100000
mi_a3,1000,100000
mi_cc9,1000,100000
mi_cc9e,1000,100000
mi_cc9pro,1000,100000
mi_max,1000,100000
mi_max2,1000,100000
mi_max3,1000,100000
mi_mix,1000,100000
mi_mix2,1000,100000
mi_mix2s,1000,100000
mi_mix2se,1000,100000
mi_mix3,1000,100000
mi_mix4,1000,100000
mi_note,1000,100000
mi_note10,1000,100000
mi_note10lite,1000,100000
mi_note10pro,1000,100000
mi_note2,1000,100000
mi_note3,1000,100000
mi_note_pro,1000,100000
mi12,1000,100000
mi12lite,1000,100000
mi12pro,1000,100000
mi12s,1000,100000
mi12s_pro,1000,100000
mi12s_ultra,1000,100000
mi12ultra,1000,100000
mi12x,1000,100000
poco,1000,100000
black_shark,1000,100000
redmi10,1000,100000
redmi10a,1000,100000
redmi10c,1000,100000
redmi10c,1000,100000
redmi2,1000,100000
redmi20x,1000,100000
redmi3,1000,100000
redmi3pro,1000,100000
redmi3s,1000,100000
redmi3s_plus,1000,100000
redmi3x,1000,100000
redmi4,1000,100000
redmi4a,1000,100000
redmi4prime,1000,100000
redmi4pro,1000,100000
redmi4x,1000,100000
redmi5,1000,100000
redmi5a,1000,100000
redmi5plus,1000,100000
redmi6,1000,100000
redmi6a,1000,100000
redmi6pro,1000,100000
redmi7,1000,100000
redmi7a,1000,100000
redmi8,1000,100000
redmi8a,1000,100000
redmi9,4000,1500
redmi9a,3500,1500
redmi9c,3500,1500
redmi9t,3500,1500
redmi_k20pro,1000,100000
redmi_k30,1000,100000
redmi_k30pro,1000,100000
redmi_k40,1000,100000
redmi_k40pro,1000,100000
redmi_k40pro_plus,1000,100000
redmi_k40s,1000,100000
redmi_k50,1000,100000
redmi_k50i,1000,100000
redmi_k50pro,1000,100000
redmi_k50ultra,1000,100000
redmi_note10,1000,100000
redmi_note10pro,1000,100000
redmi_note10s,1000,100000
redmi_note10t,1000,100000
redmi_note11,1000,100000
redmi_note11e,1000,100000
redmi_note11e_pro,1000,100000
redmi_note11pro,1000,100000
redmi_note11s,1000,100000
redmi_note11se,1000,100000
redmi_note11t,1000,100000
redmi_note11t_pro,1000,100000
redmi_note2,1000,100000
redmi_note3,1000,100000
redmi_note3pro,1000,100000
redmi_note3pro_se,1000,100000
redmi_note4,1000,100000
redmi_note4g,1000,100000
redmi_note4x,1000,100000
redmi_note5,1000,100000
redmi_note5a,1000,100000
redmi_note5pro,1000,100000
redmi_note6pro,1000,100000
redmi_note7,1000,100000
redmi_note7pro,1000,100000
redmi_note7s,1000,100000
redmi_note8,1000,100000
redmi_note8pro,1000,100000
redmi_note8t,8000,3000
redmi_note9,1000,100000
redmi_note9pro,1000,100000
redmi_note9s,1000,100000
redmi_note9t,1000,100000